 values from .184 to 0.350 microns from the CfA database http://cfa-www.harvard.edu/amdata/ampdata/newcfamols.shtml  Updated 1/9/2000
 Absorption Cross-Sections for:  O3 

  47.9982	Molecular Weight of Principal Isotope   

     Wavelength    Cross-Section
     (microns)       (cm**2) 

    2.18926E-01    1.54010E-18
    2.19060E-01    1.55980E-18
    2.19194E-01    1.58100E-18
    2.19329E-01    1.61550E-18
    2.19463E-01    1.62660E-18
    2.19598E-01    1.65890E-18
    2.19732E-01    1.67310E-18
    2.19866E-01    1.70940E-18
    2.20001E-01    1.74370E-18
    2.20135E-01    1.75380E-18
    2.20270E-01    1.78140E-18
    2.20404E-01    1.79500E-18
    2.20538E-01    1.81130E-18
    2.20673E-01    1.85140E-18
    2.20807E-01    1.87050E-18
    2.20942E-01    1.89930E-18
    2.21076E-01    1.91960E-18
    2.21211E-01    1.95170E-18
    2.21345E-01    1.97660E-18
    2.21479E-01    2.00980E-18
    2.21614E-01    2.04390E-18
    2.21748E-01    2.07360E-18
    2.21883E-01    2.08300E-18
    2.22017E-01    2.10800E-18
    2.22151E-01    2.15790E-18
    2.22286E-01    2.16600E-18
    2.22420E-01    2.19750E-18
    2.22555E-01    2.24870E-18
    2.22689E-01    2.26190E-18
    2.22823E-01    2.30670E-18
    2.22958E-01    2.34200E-18
    2.23092E-01    2.39740E-18
    2.23227E-01    2.46490E-18
    2.23361E-01    2.47800E-18
    2.23496E-01    2.47680E-18
    2.23630E-01    2.50600E-18
    2.23764E-01    2.56210E-18
    2.23899E-01    2.60800E-18
    2.24033E-01    2.62010E-18
    2.24168E-01    2.65910E-18
    2.24302E-01    2.69980E-18
    2.24436E-01    2.73460E-18
    2.24571E-01    2.78720E-18
    2.24705E-01    2.78540E-18
    2.24840E-01    2.84680E-18
    2.24974E-01    2.87460E-18
    2.25108E-01    2.87410E-18
    2.25243E-01    2.91900E-18
    2.25377E-01    2.97870E-18
    2.25512E-01    2.98530E-18
    2.25646E-01    3.06320E-18
    2.25781E-01    3.06810E-18
    2.25915E-01    3.10120E-18
    2.26049E-01    3.16070E-18
    2.26184E-01    3.15640E-18
    2.26318E-01    3.18580E-18
    2.26453E-01    3.26220E-18
    2.26587E-01    3.31950E-18
    2.26721E-01    3.29510E-18
    2.26856E-01    3.34050E-18
    2.26990E-01    3.39500E-18
    2.27125E-01    3.43210E-18
    2.27259E-01    3.45390E-18
    2.27393E-01    3.53560E-18
    2.27528E-01    3.56700E-18
    2.27662E-01    3.60690E-18
    2.27797E-01    3.62400E-18
    2.27931E-01    3.65370E-18
    2.28066E-01    3.69410E-18
    2.28200E-01    3.74010E-18
    2.28334E-01    3.78700E-18
    2.28469E-01    3.79800E-18
    2.28603E-01    3.84120E-18
    2.28738E-01    3.88810E-18
    2.28872E-01    3.92570E-18
    2.29006E-01    3.96810E-18
    2.29141E-01    3.99120E-18
    2.29275E-01    4.03540E-18
    2.29410E-01    4.11100E-18
    2.29544E-01    4.14060E-18
    2.29678E-01    4.14050E-18
    2.29813E-01    4.19360E-18
    2.29947E-01    4.23570E-18
    2.30082E-01    4.26080E-18
    2.30216E-01    4.31780E-18
    2.30350E-01    4.36500E-18
    2.30485E-01    4.40870E-18
